DBN,School Name,School Type.x,Borough,Latitude,Longitude,Math Proficiency,# of Comp Sci Courses,Mbps Bandwidth,PD17a,PD17b,PD17c,Scaled Mean Score,Poverty Percent,FRPL,TSFPP,Average Teacher Salary,PLVL34,Stem Activities Count,School Type.y,Ratio of Full Time Licensed STEM Teachers to Students*
14K586,Lyons Community School,Secondary (6-12),BROOKLYN,40.709941,-73.943641,2,,200,0,0,0,46,91.9,443,24607.46,81267.47619,0.065217391,0,Secondary (6-12),1:31
14K614,The Young Women's Leadership School of Brooklyn,Secondary (6-12),BROOKLYN,40.705204,-73.939407,14,1,100,9,27,18,45.33333333,80,313,21028.84,85262.89286,0.235294118,2,Secondary (6-12),9:406
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",Secondary (6-12),QUEENS,40.742839,-73.936782,79,,100,0,0,0,36.66666667,77.6,512,19232.03,91883.55263,0.827272727,1,Secondary (6-12),2:133
24Q005,The Walter Crowley Intermediate School (I.S. 5),Middle (6-8),QUEENS,40.737718,-73.887429,50,,20,16,18,11,544.3333333,80.4,1414,20144.42,83756.76889,0.496631966,0,Middle (6-8),15:899
24Q049,Dorothy Bonawit Kole (P.S./I.S. 49),K-8,QUEENS,40.719867,-73.875093,56,6,20,0,0,20,121.3333333,47.9,551,18558.62,84079.90411,0.626373626,2,K-8,7:1160
24Q061,Leonardo da Vinci (I.S. 61),Middle (6-8),QUEENS,40.742668,-73.863307,23,3,50,50,57,29,666.6666667,95,2152,21827.37,83808.61714,0.2185,2,Middle (6-8),5:373
24Q073,The Frank Sansivieri Intermediate School (I.S. 73),Middle (6-8),QUEENS,40.729215,-73.893624,50,,10,9,14,5,577,71.4,1385,20288.74,78962.04895,0.472559214,2,Middle (6-8),34:1971
26Q266,P.S. /I.S. 266 Q,K-8,QUEENS,40.746231,-73.727614,67,8,10,0,0,0,59,53.8,336,22836.46,87968.28846,0.480225989,0,K-8,4:649
24Q077,I.S. 77,Middle (6-8),QUEENS,40.699516,-73.90214,21,3,200,13,9,9,293.3333333,92.6,932,23421.12,89492.65823,0.240909091,1,Middle (6-8),7:506
24Q087,The Middle Village School (P.S./I.S. 87),K-8,QUEENS,40.711815,-73.871238,20,,20,,0,0,54.66666667,64.7,355,24727.55,87015.98113,0.292682927,0,K-8,1:303
24Q093,Ridgewood I.S. 93,Middle (6-8),QUEENS,40.706041,-73.902584,35,2,20,3,3,3,306.3333333,94.8,1041,21919.42,88189.24419,0.324265506,1,Middle (6-8),18:1099
24Q102,P.S./I.S. 102Q,K-8,QUEENS,40.733514,-73.877857,58,,20,0,11,6,131.3333333,86,1097,20354.36,83231.53684,0.611675127,0,K-8,1:221
24Q113,Anthony J. Pranzo (P.S./I.S. 113),K-8,QUEENS,40.705516,-73.862208,58,3,30,11,0,0,111,56.6,497,19779.24,88455.16364,0.537537538,0,K-8,3:896
24Q119,Glendale (I.S. 119),K-8,QUEENS,40.704406,-73.875183,63,9,50,0,0,0,159.3333333,74.2,936,17669.57,90937.16667,0.483263598,1,K-8,10:1277
24Q125,Thomas J. McCann Woodside (I.S. 125),Middle (6-8),QUEENS,40.741131,-73.918945,39,1,200,5,11,11,393.6666667,77.3,1139,19968.6,86680.52381,0.474174428,1,Middle (6-8),27:1504
24Q128,Juniper Valley (P.S. 128),K-8,QUEENS,40.715344,-73.886215,57,,100,,,,93,36.8,353,18903.88,82933.71875,0.584229391,1,K-8,2:323
24Q311,Corona Arts and Sciences Academy (CASA),Middle (6-8),QUEENS,40.745709,-73.865329,23,,20,5,5,11,243,95,714,21427.33,81522.36332,0.242798354,1,Middle (6-8),9:733
25Q164,Queens Valley School,K-8,QUEENS,40.720924,-73.823362,63,6,50,8,7,7,58.66666667,74,491,22059.02,90586.38889,0.551136364,1,K-8,2:693
25Q185,Edward Bleeker (J.H.S. 185),Middle (6-8),QUEENS,40.775253,-73.819347,67,1,40,0,4,0,431,77.1,1166,19324.9,85384.89899,0.636504254,1,Middle (6-8),10:507
25Q189,Daniel Carter Beard (J.H.S. 189),Middle (6-8),QUEENS,40.759844,-73.820548,52,,40,7,7,0,212.3333333,79.2,595,20753.87,88244.82353,0.551020408,0,Middle (6-8),5:257
25Q194,William H. Carr (J.H.S. 194),Middle (6-8),QUEENS,40.78365,-73.807838,55,,10,25,25,25,392,60.3,738,18664.26,85708.85856,0.601190476,1,Middle (6-8),22:1241
25Q200,The Magnet School of Global Studies & Leadership (P.S./M.S. 200),K-8,QUEENS,40.731369,-73.805116,29,,100,0,0,0,59.66666667,72.4,,,,0.491620112,1,K-8,1:522
25Q219,Paul Klapper (P.S./M.S. 219),K-8,QUEENS,40.735275,-73.823778,52,,10,67,33,33,46,74,443,33535.34,88067.93377,0.550724638,1,K-8,2:321
25Q237,Rachel Carson (I.S. 237),Middle (6-8),QUEENS,40.749545,-73.822073,64,,30,0,8,4,432.6666667,85.2,1153,20225.48,87189.70688,0.661787365,1,Middle (6-8),1:57
25Q250,Robert F. Kennedy Community Middle School (I.S. 250),Middle (6-8),QUEENS,40.724458,-73.810216,30,,20,,,,130,84.2,328,22379.88,78374.43478,0.353846154,2,Middle (6-8),1:57
25Q252,The Queens School of Inquiry,Secondary (6-12),QUEENS,40.724458,-73.810216,30,1,20,0,0,0,53.33333333,61.3,344,23903.21,82048.29615,0.4125,1,Secondary (6-12),7:288
25Q281,East-West School of International Studies,Secondary (6-12),QUEENS,40.749545,-73.822073,73,1,30,17,17,6,61.33333333,86.6,560,23501.11,82749.66957,0.782608696,1,Secondary (6-12),15:649
25Q285,World Journalism Preparatory: A College Board School,Secondary (6-12),QUEENS,40.765133,-73.790083,34,4,40,0,0,0,52.66666667,57,320,20175.24,89072.86486,0.449367089,0,Secondary (6-12),11:567
25Q294,BELL Academy,Middle (6-8),QUEENS,40.782298,-73.779099,71,,50,,,,75,48.5,,,,0.662222222,1,Middle (6-8),7:375
31R049,Berta A. Dreyfus (I.S. 49),Middle (6-8),STATEN IS,40.620347,-74.081643,10,,100,15,15,15,199,94.8,576,28141.41,71496.86154,0.155778894,0,Middle (6-8),1:68
25Q499,"Queens College School for Math, Science and Technology",K-8,QUEENS,40.739246,-73.822057,78,5,50,,,,42,50.4,247,18260.19,96645.44444,0.833333333,0,K-8,1:253
31R002,George L. Egbert (I.S. 2),Middle (6-8),STATEN IS,40.576725,-74.100726,31,,100,6,6,6,312,71.6,696,21100.86,102842.0571,0.338675214,0,Middle (6-8),1:89
31R007,Elias Bernstein (I.S. 7),Middle (6-8),STATEN IS,40.523757,-74.185941,57,3,50,6,13,6,355.3333333,37.1,427,20572.56,90299.62667,0.638836773,0,Middle (6-8),14:1163
31R024,Myra S. Barnes (I.S. 24),Middle (6-8),STATEN IS,40.545281,-74.14632,43,3,100,6,3,3,357.6666667,44.4,553,24768.38,93724.11215,0.452003728,2,Middle (6-8),20:1267
31R027,Anning S. Prall (I.S. 27),Middle (6-8),STATEN IS,40.628169,-74.116997,31,,50,4,4,4,280.6666667,73.8,728,22453.29,104692.6567,0.387173397,1,Middle (6-8),14:1005
31R028,The Eagle Academy for Young Men of Staten Island,Secondary (6-12),STATEN IS,40.620347,-74.081643,20,,100,29,14,14,69.66666667,84.6,209,24904.53,97464.18103,0.210526316,1,Secondary (6-12),5:253
31R034,Tottenville (I.S. 34),Middle (6-8),STATEN IS,40.508284,-74.243428,55,,20,7,7,7,346,34.5,373,22258.48,84740.64838,0.664739884,0,Middle (6-8),15:1091
31R048,William G. Wilcox - Atlas Academy (P.S./I.S. 48),K-8,STATEN IS,40.603484,-74.091237,62,,100,0,0,0,75,42.1,401,22220.97,87329.92355,0.626666667,0,K-8,4:981
28Q358,M.S. 358,Middle (6-8),QUEENS,40.70869,-73.79798,,3,50,20,20,0,82.33333333,89.2,338,21224.78,84303.46154,0.279352227,2,Middle (6-8),4:381
31R051,Edwin Markham (I.S. 51),Middle (6-8),STATEN IS,40.622596,-74.14497,22,,100,12,0,8,401,78.3,1022,23152.33,92337.47102,0.269326683,2,Middle (6-8),9:1315
31R061,William A. Morris (I.S. 61),Middle (6-8),STATEN IS,40.634009,-74.097826,15,3,20,15,11,11,313.3333333,83,806,23919.17,92104.41772,0.219148936,0,Middle (6-8),4:327
31R063,Marsh Avenue Expeditionary Learning School - MAELS,Middle (6-8),STATEN IS,40.581315,-74.158589,57,2,40,9,0,0,140.3333333,39,170,20869.7,81951.1236,0.508313539,0,Middle (6-8),11:459
31R072,Police Officer Rocco Laurie Intermediate School (I.S. 72),Middle (6-8),STATEN IS,40.593005,-74.158988,40,3,100,17,13,10,436.3333333,64.8,912,22924.44,95186.74178,0.45683728,1,Middle (6-8),5:354
31R075,Frank D. Paulo (I.S. 75),Middle (6-8),STATEN IS,40.54438,-74.197897,57,3,50,3,3,3,431.3333333,39,530,25127.97,92593.81333,0.58423493,2,Middle (6-8),23:1371
31R080,The Michael J. Petrides School,K-12,STATEN IS,40.608517,-74.102078,41,,100,6,13,13,64,48.2,603,21762.93,83125.86549,0.427083333,1,K-12,10:1313
31R861,The Staten Island School of Civic Leadership,K-8,STATEN IS,40.620676,-74.164277,46,9,100,0,8,0,92.66666667,78.7,698,23164.61,89985.05327,0.471223022,1,K-8,1:151
05M046,The Arthur Tappan School (P.S./M.S. 46),K-8,,,,4,6,100,15,8,8,58.66666667,95,593,25162.42,74092.33333,0.073863636,1,K-8,2:661
08X467,Mott Hall Community School,Middle (6-8),BRONX,40.826526,-73.818417,,,100,0,25,13,101.3333333,86.1,286,24479.51,86213,0.174342105,2,Middle (6-8),6:331
05M123,Mahalia Jackson (P.S./M.S. 123),K-8,MANHATTAN,40.819767,-73.944433,3,,100,,,,60,95,424,29159.98,85895.13043,0.116666667,0,K-8,4:479
05M129,John H. Finley (P.S./M.S. 129),K-8,MANHATTAN,40.814637,-73.951912,5,,100,14,0,0,51,94.3,378,28812.05,99023.21622,0.104575163,1,K-8,2:435
05M148,Eagle Academy for Young Men of Harlem,Secondary (6-12),MANHATTAN,40.817372,-73.947712,7,,100,20,20,20,37,78,242,22984.65,93013.75,0.081081081,2,Secondary (6-12),7:318
05M161,Pedro Albizu Campos (P.S./M.S. 161),K-8,MANHATTAN,40.81755,-73.953041,17,,100,21,14,14,111.6666667,95,808,25150.7,85464.51389,0.191044776,0,K-8,1:419
05M286,Urban Assembly Academy for Future Leaders,Middle (6-8),MANHATTAN,40.815256,-73.955325,2,,100,0,0,0,53.66666667,91.1,152,30321.02,68956.27778,0.086956522,1,Middle (6-8),3:169
05M302,Knowledge and Power Preparatory Academy IV,Middle (6-8),MANHATTAN,40.817372,-73.947712,1,,100,,,,,,,,,,3,Middle (6-8),1:47
05M362,"Columbia Secondary School for Math, Science and Engineering",Secondary (6-12),MANHATTAN,40.810431,-73.955809,88,2,100,0,0,0,59,55,376,19327.08,81911.61224,0.892655367,2,Secondary (6-12),5:234
05M499,Frederick Douglass Academy,Secondary (6-12),MANHATTAN,40.824319,-73.93712,11,1,100,26,20,21,87.66666667,77.6,1036,19400.62,96524.9878,0.091254753,2,Secondary (6-12),13:681
12X190,ESMT - I.S. 190,Middle (6-8),BRONX,40.836575,-73.892817,16,,100,0,0,0,72.33333333,91.7,220,24758.65,92816.75,0.193548387,0,Middle (6-8),3:241
05M514,New Design Middle School,Middle (6-8),MANHATTAN,40.819572,-73.957823,4,,100,,,,41.33333333,92.3,119,37276.33,61407.8125,0.112903226,0,Middle (6-8),3:130
05M670,Thurgood Marshall Academy for Learning and Social Change,Secondary (6-12),MANHATTAN,40.815509,-73.944202,18,,100,20,0,0,55,75.5,403,21571.04,97952.68421,0.212121212,1,Secondary (6-12),13:547
12X098,Herman Ridder (J.H.S. 98),Middle (6-8),BRONX,40.8359,-73.890458,17,,100,22,22,22,79.33333333,95,229,26126.12,82027.18182,0.113445378,0,Middle (6-8),1:80
12X129,The Academy for Independent Learning and Leadership (P.S./M.S. 129),Middle (6-8),BRONX,40.845878,-73.886184,18,,200,0,0,0,155.6666667,94,480,24120.84,87016.78049,0.239828694,1,Middle (6-8),6:517
12X211,P.S./M.S. X211,K-8,BRONX,40.843546,-73.889755,25,,100,50,63,38,72.33333333,93,525,23887.55,92985.8913,0.290322581,0,K-8,5:598
12X212,P.S./M.S 212,K-8,BRONX,40.828419,-73.900721,11,,100,,,,50,95,397,27297.33,63761.23333,0.12,1,K-8,3:437
12X214,P.S. 214,K-8,BRONX,40.839565,-73.880358,19,,100,0,8,0,135.6666667,89.4,893,21698.13,85019.92405,0.122850123,0,K-8,4:539
12X217,School of Performing Arts,Middle (6-8),BRONX,40.822443,-73.893902,7,,200,25,14,13,83,95,289,28544.53,93034.83333,0.144578313,0,Middle (6-8),1:75
12X242,Mott Hall V,Secondary (6-12),BRONX,40.831416,-73.877785,13,,100,8,25,33,60.33333333,87,578,22496.04,77334.75,0.220994475,0,Secondary (6-12),6:341
12X267,Bronx Latin,Secondary (6-12),BRONX,40.827743,-73.900105,18,1,100,5,10,5,50.33333333,94.8,546,22187,81501.3125,0.231788079,0,Secondary (6-12),4:193
12X271,East Bronx Academy for the Future,Secondary (6-12),BRONX,40.836356,-73.888361,17,1,100,9,9,9,78.33333333,92.7,616,24637.57,77218.80328,0.153191489,1,Secondary (6-12),14:671
12X273,Frederick Douglass Academy V,Middle (6-8),BRONX,40.848472,-73.888561,10,,100,,,,66,89.3,199,25631.14,84229.35714,0.146464646,2,Middle (6-8),1:224
02M408,Professional Performing Arts School,Secondary (6-12),MANHATTAN,40.761448,-73.988019,,,100,14,14,0,20.33333333,37.9,206,19064.49,95439.82517,0.803278689,1,Secondary (6-12),8:565
12X286,Fannie Lou Hamer Middle School,Middle (6-8),BRONX,40.831165,-73.887094,6,,100,10,20,20,87.66666667,88.4,240,27037.91,82465.33333,0.045627376,0,Middle (6-8),1:92
12X316,Knowledge and Power Preparatory Academy III,Middle (6-8),BRONX,40.845878,-73.886184,26,,200,21,36,29,120.6666667,92.2,347,21449.21,65389.58065,0.229281768,1,Middle (6-8),2:77
12X318,"The School of Mathematics, Science and Technology through the Arts (I.S. 318)",Middle (6-8),BRONX,40.843546,-73.889755,13,1,100,9,9,9,79,95,252,26794.09,69457.04,0.092827004,2,Middle (6-8),3:128
12X341,ACCION Academy,Middle (6-8),BRONX,40.842084,-73.891116,10,,100,,,,47.33333333,92.1,137,30690.72,204246.1667,0.077464789,1,Middle (6-8),3:151
12X372,Urban Assembly School for Wildlife Conservation,Secondary (6-12),BRONX,40.843945,-73.884788,8,,100,,,,,,,,,,1,Secondary (6-12),12:473
12X383,Emolior Academy,Middle (6-8),BRONX,40.839565,-73.880358,17,,100,22,22,22,84,92.3,236,25009.11,68269.30769,0.138888889,1,Middle (6-8),4:259
12X384,Entrada Academy,Middle (6-8),BRONX,40.822443,-73.893902,7,,200,0,0,0,,,,,,,0,Middle (6-8),2:249
16K035,Stephen Decatur Middle School 35,Middle (6-8),BROOKLYN,40.681896,-73.935963,23,1,200,0,0,0,74.33333333,87.3,209,25741.55,96750.46667,0.143497758,1,Middle (6-8),3:245
16K057,Ron Brown Academy (M.S. 57),Middle (6-8),BROOKLYN,40.691274,-73.933697,17,,100,20,20,20,47.66666667,94.5,186,31928.59,70355.94444,0.153846154,0,Middle (6-8),3:199
16K267,"The Math, Science & Technology Institute (M.S. 267)",Middle (6-8),BROOKLYN,40.68832,-73.932275,51,,100,10,10,10,60,89.9,233,26052.63,88560,0.294444444,1,Middle (6-8),2:89
16K308,The Clara Cardwell Elementary and Middle School (P.S./M. S. 308),K-8,BROOKLYN,40.688695,-73.935499,3,,100,33,33,33,35.66666667,90.2,227,37840.21,86458.93548,0.056074766,0,K-8,3:275
16K681,Madiba Prep Middle School,Middle (6-8),BROOKLYN,40.692126,-73.931731,17,,20,,,,42,93.1,138,30015.97,78533.81818,0.055555556,1,Middle (6-8),4:159
17K002,Parkside Preparatory Academy,Middle (6-8),BROOKLYN,40.656183,-73.951583,21,,100,0,0,0,154.6666667,90.9,438,23231.32,87971.97143,0.219827586,0,Middle (6-8),8:493
17K061,Dr. Gladstone H. Atwell Middle School (M.S. 61),Middle (6-8),BROOKLYN,40.664007,-73.94922,22,,100,25,13,13,222,73.9,506,25128.34,82190.17822,0.295795796,3,Middle (6-8),4:725
17K138,P.S. 138,K-8,BROOKLYN,40.67438,-73.951443,36,,20,,,,70.66666667,93.8,498,27688.72,90297.70833,0.382075472,,K-8,2:565
17K181,P.S. 181,K-8,BROOKLYN,40.648215,-73.946374,16,,20,13,25,25,75,76.5,487,26022.54,75591.47368,0.235555556,0,K-8,3:689
17K189,The Bilingual Center (P.S. 189),K-8,BROOKLYN,40.665565,-73.926246,60,,20,0,0,0,115.3333333,93,971,20159.89,89647.92553,0.595375723,0,K-8,4:527
17K246,Walt Whitman (I.S. 246),Middle (6-8),BROOKLYN,40.648608,-73.952821,10,,10,0,0,0,111.3333333,87.4,352,26208.16,96258.93548,0.143712575,1,Middle (6-8),4:413
17K340,I.S. 340,Middle (6-8),BROOKLYN,40.676094,-73.97038,15,,100,0,0,0,66.33333333,81.3,178,23203.4,78265.76471,0.361809045,1,Middle (6-8),3:224
17K352,Ebbets Field Middle School,Middle (6-8),BROOKLYN,40.665035,-73.959031,13,,100,0,0,0,49.33333333,95,164,34813.82,74741.95,0.27027027,0,Middle (6-8),3:167
17K353,Elijah Stroud Middle School,Middle (6-8),BROOKLYN,40.674406,-73.960254,13,,100,,,,43,95,138,29023.38,88916.75,0.11627907,0,Middle (6-8),3:146
17K354,The School of Integrated Learning,Middle (6-8),BROOKLYN,40.672713,-73.936924,32,,20,0,0,0,76.66666667,94.1,233,24701.26,85137.23735,0.456521739,1,Middle (6-8),2:127
17K382,Academy for College Preparation and Career Exploration: A College Board School,Secondary (6-12),BROOKLYN,40.649787,-73.95855,12,,30,20,20,20,40.66666667,79.6,327,21215.24,89729.59091,0.032786885,1,Secondary (6-12),3:211
17K394,The Mary McLeod Bethune Middle School (M.S. 394),K-8,BROOKLYN,40.672762,-73.927973,4,,10,0,0,0,49.33333333,88.5,380,23685.87,76921.60526,0.189189189,0,K-8,2:477
17K484,Ronald Edmonds Learning Center II,Middle (6-8),BROOKLYN,40.673073,-73.919594,14,,10,0,0,0,41,89.9,141,25051.34,82590.13333,0.235772358,0,Middle (6-8),4:159
17K543,"Science, Technology and Research Early College School at Erasmus",Secondary (6-12),BROOKLYN,40.649787,-73.95855,39,,30,0,0,0,57.33333333,78.7,410,19751.51,91887.29814,0.610465116,1,Secondary (6-12),10:541
17K590,Medgar Evers College Preparatory School,Secondary (6-12),BROOKLYN,40.667195,-73.951167,65,2,20,0,0,0,48.66666667,71.3,844,16726.21,99061.0231,0.684931507,0,Secondary (6-12),7:419
17K722,New Heights Middle School,Middle (6-8),BROOKLYN,40.662447,-73.936382,13,,20,11,11,11,72,89.3,203,27743.3,74810.82707,0.152777778,0,Middle (6-8),2:117
26Q067,Louis Pasteur Middle School 67Q,Middle (6-8),QUEENS,40.762708,-73.733694,81,,20,6,6,6,171,41.2,360,17537.62,86549.81132,0.828460039,1,Middle (6-8),8:447
26Q074,Nathaniel Hawthorne (J.H.S. 74),Middle (6-8),QUEENS,40.745201,-73.767446,77,3,20,6,5,5,302,49.1,562,19659.51,86606.01408,0.750551876,2,Middle (6-8),19:1160
26Q158,Marie Curie (M.S. 158),Middle (6-8),QUEENS,40.756139,-73.772862,70,3,10,50,50,50,277,57,593,18826.35,99828.48276,0.696750903,0,Middle (6-8),14:1059
26Q172,Irwin Altman (M.S. 172),Middle (6-8),QUEENS,40.741944,-73.712965,55,3,10,20,40,20,269.6666667,63.2,609,19967.16,95535.33333,0.572311496,5,Middle (6-8),13:978
26Q178,The Holliswood School (P.S./I.S. 178),K-8,QUEENS,40.724479,-73.777454,75,7,50,,,,36.66666667,38.3,197,19688.1,87380.60773,0.590909091,1,K-8,1:283
26Q216,George J. Ryan (M.S. 216),Middle (6-8),QUEENS,40.737517,-73.794031,72,3,50,0,5,0,459.3333333,68.6,987,17994.39,87235.05882,0.788824383,4,Middle (6-8),17:1464
02M104,Simon Baruch Middle School (J.H.S. 104),Middle (6-8),MANHATTAN,40.736094,-73.980663,,,100,0,5,4,312,45.1,497,18847.23,82294.02797,0.65491453,1,Middle (6-8),17:1134
02M114,East Side Middle School,Middle (6-8),MANHATTAN,40.780706,-73.948553,,,100,0,0,0,146.3333333,11.1,49,19314.98,83991.96667,0.958997722,1,Middle (6-8),1:75
02M126,Manhattan Academy of Technology/Jacob Riis (P.S. 126),K-8,MANHATTAN,40.710729,-73.996631,,,100,0,0,0,74.33333333,80,602,22576.09,90566.16667,0.793721973,2,K-8,5:784
02M131,Sun Yat Sen Middle School (M.S. 131),Middle (6-8),MANHATTAN,40.716553,-73.993092,,,200,0,0,0,131.3333333,93.6,407,26308.75,92574.97222,0.606598985,1,Middle (6-8),9:436
02M167,Robert F. Wagner (J.H.S. 167),Middle (6-8),MANHATTAN,40.77205,-73.958066,,,100,3,10,7,395.6666667,31.4,409,18531.05,82643.85965,0.802864364,4,Middle (6-8),23:1336
02M177,Yorkville East Middle School,Middle (6-8),MANHATTAN,40.770419,-73.951135,,,100,0,0,0,65,35.2,80,23617.04,75549.72973,0.620512821,3,Middle (6-8),5:233
02M217,The Roosevelt Island (P.S./I.S. 217),K-8,MANHATTAN,40.763894,-73.947916,,6,50,0,0,0,25.66666667,34.3,197,20401.08,78879.13349,0.480519481,2,K-8,1:308
02M225,The Ella Baker School,K-8,MANHATTAN,40.765359,-73.960059,,,200,20,20,0,8.333333333,34.1,106,24326.58,83894.18699,0.44,,K-8,1:320
02M255,The Salk School of Science (M.S. 255),Middle (6-8),MANHATTAN,40.735161,-73.982027,,,100,0,0,0,110.6666667,10.6,41,18988.33,77245.19084,0.888554217,4,Middle (6-8),5:386
02M260,The Clinton School for Writers & Artists (M.S. 260),Secondary (6-12),MANHATTAN,40.736518,-73.992725,,,100,13,25,13,63,14.2,,,,0.931216931,0,Secondary (6-12),11:604
02M276,Battery Park City School (P.S./I.S. 276),K-8,MANHATTAN,40.70644,-74.017818,,3,100,0,0,0,60.33333333,13.5,104,21093.76,79825.53968,0.751381215,3,K-8,5:827
02M289,Hudson River Middle School (I.S. 289),Middle (6-8),MANHATTAN,40.716668,-74.013542,,,100,0,0,0,85.33333333,50.2,142,20075.44,95419.83333,0.703125,1,Middle (6-8),5:283
02M297,M.S. 297,Middle (6-8),MANHATTAN,40.730999,-74.007191,,,100,,,,62.33333333,30.6,58,19276.12,219962.4818,0.598930481,0,Middle (6-8),4:193
02M312,NYC Lab Middle School for Collaborative Studies,Middle (6-8),MANHATTAN,40.742129,-74.002198,,1,100,9,9,0,137,38.8,212,19314.89,87864.35294,0.907542579,0,Middle (6-8),9:554
02M347,"P.S. 347–""47"" The American Sign Language and English Lower School",K-8,MANHATTAN,40.738548,-73.982455,,,100,17,17,17,7.333333333,62.4,111,46534.45,91060.4,0.227272727,0,K-8,2:197
02M397,Spruce Street School,K-8,MANHATTAN,40.711313,-74.005472,,,100,40,40,0,44.66666667,13.5,71,19781.2,87170.56338,0.768656716,0,K-8,1:539
02M407,Institute For Collaborative Education,Secondary (6-12),MANHATTAN,40.732447,-73.983031,,,200,,,,6.333333333,26.2,123,16538.45,85285.52,0.421052632,3,Secondary (6-12),3:164
